checked_at,generated_at,section,rank,total,places,score,priority,consent,enrolled
2026-08-20T17:03:51,20.08.2026 16:16:50,"Лица, поступающие по общему конкурсу (мест: 200)",113,200,200,94,1,да,нет
2026-08-20T17:08:52,20.08.2026 16:16:50,"Лица, поступающие по общему конкурсу (мест: 200)",113,200,200,94,1,да,нет
2026-08-20T17:13:54,20.08.2026 16:16:50,"Лица, поступающие по общему конкурсу (мест: 200)",113,200,200,94,1,да,нет
2026-08-20T17:18:54,20.08.2026 16:16:50,"Лица, поступающие по общему конкурсу (мест: 200)",113,200,200,94,1,да,нет
2026-08-20T17:22:42,20.08.2026 16:52:26,"Лица, поступающие по общему конкурсу (мест: 200)",116,200,200,94,1,да,нет
2026-08-20T17:25:44,20.08.2026 16:52:26,"Лица, поступающие по общему конкурсу (мест: 200)",116,200,200,94,1,да,нет
2026-08-20T17:26:54,20.08.2026 16:52:26,"Лица, поступающие по общему конкурсу (мест: 200)",116,200,200,94,1,да,нет
2026-08-20T17:31:54,20.08.2026 16:52:26,"Лица, поступающие по общему конкурсу (мест: 200)",116,200,200,94,1,да,нет
2026-08-20T14:40:01,20.08.2026 16:52:26,"Лица, поступающие по общему конкурсу (мест: 200)",116,200,200,94,1,да,нет
2026-08-20T14:47:13,20.08.2026 16:52:26,"Лица, поступающие по общему конкурсу (мест: 200)",116,200,200,94,1,да,нет
2026-08-20T15:43:22,20.08.2026 18:05:45,"Лица, поступающие по общему конкурсу (мест: 200)",118,200,200,94,1,да,нет
2026-08-20T16:45:36,20.08.2026 19:01:54,"Лица, поступающие по общему конкурсу (мест: 200)",122,200,200,94,1,да,нет
2026-08-20T17:10:48,20.08.2026 19:32:07,"Лица, поступающие по общему конкурсу (мест: 200)",122,200,200,94,1,да,нет
2026-08-20T19:20:07,20.08.2026 21:35:32,"Лица, поступающие по общему конкурсу (мест: 200)",124,200,200,94,1,да,нет
2026-08-20T19:49:38,20.08.2026 22:07:53,"Лица, поступающие по общему конкурсу (мест: 200)",125,200,200,94,1,да,нет
2026-08-20T20:11:44,20.08.2026 22:36:06,"Лица, поступающие по общему конкурсу (мест: 200)",128,200,200,94,1,да,нет
2026-08-20T20:44:29,20.08.2026 23:09:22,"Лица, поступающие по общему конкурсу (мест: 200)",127,200,200,94,1,да,нет
2026-08-20T21:36:58,21.08.2026 00:07:28,"Лица, поступающие по общему конкурсу (мест: 200)",127,200,200,94,1,да,нет
2026-08-20T21:57:30,21.08.2026 00:07:28,"Лица, поступающие по общему конкурсу (мест: 200)",127,200,200,94,1,да,нет
2026-08-20T22:19:53,21.08.2026 00:37:31,"Лица, поступающие по общему конкурсу (мест: 200)",127,200,200,94,1,да,нет
2026-08-20T22:49:12,21.08.2026 01:05:39,"Лица, поступающие по общему конкурсу (мест: 200)",126,200,200,94,1,да,нет
2026-08-20T23:10:42,21.08.2026 01:36:46,"Лица, поступающие по общему конкурсу (мест: 200)",127,200,200,94,1,да,нет
2026-08-20T23:37:07,21.08.2026 02:12:15,"Лица, поступающие по общему конкурсу (мест: 200)",127,200,200,94,1,да,нет
2026-08-20T23:55:01,21.08.2026 02:12:15,"Лица, поступающие по общему конкурсу (мест: 200)",127,200,200,94,1,да,нет
2026-08-21T00:31:02,21.08.2026 03:09:47,"Лица, поступающие по общему конкурсу (мест: 200)",127,200,200,94,1,да,нет
2026-08-21T02:08:28,21.08.2026 04:40:09,"Лица, поступающие по общему конкурсу (мест: 200)",127,200,200,94,1,да,нет
2026-08-21T03:13:15,21.08.2026 05:38:44,"Лица, поступающие по общему конкурсу (мест: 200)",127,200,200,94,1,да,нет
2026-08-21T03:59:29,21.08.2026 06:10:31,"Лица, поступающие по общему конкурсу (мест: 200)",127,200,200,94,1,да,нет
2026-08-21T05:08:29,21.08.2026 07:40:08,"Лица, поступающие по общему конкурсу (мест: 200)",127,200,200,94,1,да,нет
2026-08-21T05:45:09,21.08.2026 07:40:08,"Лица, поступающие по общему конкурсу (мест: 200)",127,200,200,94,1,да,нет
2026-08-21T07:01:14,21.08.2026 09:43:30,"Лица, поступающие по общему конкурсу (мест: 200)",127,200,200,94,1,да,нет
2026-08-21T07:46:38,21.08.2026 10:18:19,"Лица, поступающие по общему конкурсу (мест: 200)",127,200,200,94,1,да,нет
2026-08-21T09:42:39,21.08.2026 11:52:07,"Лица, поступающие по общему конкурсу (мест: 200)",128,200,200,94,1,да,нет
2026-08-21T11:31:49,21.08.2026 13:49:53,"Лица, поступающие по общему конкурсу (мест: 200)",132,200,200,94,1,да,нет
